road_name,year,road_type,all_motor_vehicles,LGVs,all_HGVs,cars_and_taxis,lgv_share,road_length_km,count_points,log_road_length,log_total_traffic,collision_count,fatal_count,serious_count,slight_count,severe_count
A5145,2022,A road,17980.666666666668,2482.5555555555557,299.6666666666667,14870.222222222223,0.13226141760680918,12.7,9,2.5416019934645457,9.797052385573307,18,0,4,14,4
A5145,2023,A road,18299.444444444445,2524.4444444444443,294.8888888888889,15149.888888888889,0.1321562314597084,12.7,9,2.5416019934645457,9.814625980141612,19,0,5,14,5
A5145,2024,A road,18578.11111111111,2569.777777777778,296,15379.333333333334,0.13251517523374512,12.7,9,2.5416019934645457,9.829739344719284,12,0,4,8,4
A5149,2017,A road,15861,1640.5,350,13773,0.10438124074179946,7.1,2,1.9600947840472698,9.67161854490356,5,0,0,5,0
A5149,2018,A road,15371.5,1497.5,336.5,13444.5,0.09451216192467216,7.1,2,1.9600947840472698,9.64027042448386,6,0,0,6,0
A5149,2019,A road,14448,1396.6666666666667,305.6666666666667,12665,0.09495182849750743,7.3,3,1.9878743481543455,9.578311275656766,1,0,1,0,1
A5149,2020,A road,8232.333333333334,954,146.66666666666666,7086,0.11731713193173497,7.3,3,1.9878743481543455,9.015824769081522,3,0,0,3,0
A5149,2021,A road,9052.333333333334,1040,157,7807,0.11631687579939759,7.3,3,1.9878743481543455,9.110777830349994,4,0,1,3,1
A5149,2022,A road,9681,1127.3333333333333,163.33333333333334,8338.666666666666,0.11788613341281531,7.3,3,1.9878743481543455,9.177920480720072,4,0,2,2,2
A5149,2023,A road,9854.333333333334,1146.3333333333333,160.66666666666666,8495.333333333334,0.11776844129712218,7.3,3,1.9878743481543455,9.19566656974239,7,0,2,5,2
A5149,2024,A road,10004.333333333334,1167,160.33333333333334,8624,0.11809903192967197,7.3,3,1.9878743481543455,9.210773611447742,6,0,3,3,3
A5181,2017,A road,10424,2043.5,518,7721,0.19376349764311188,3,2,1.0986122886681098,9.251866118804681,7,0,2,5,2
A5181,2018,A road,10379,2082,525.5,7636,0.1982540042102906,3,2,1.0986122886681098,9.24753981296529,6,1,0,5,1
A5181,2019,A road,10686.5,1987,505.5,8094,0.18349346905694314,3,2,1.0986122886681098,9.276736541615865,3,0,1,2,1
A5181,2020,A road,8418,1753.5,444,6148,0.20531800610658182,3,2,1.0986122886681098,9.038127549330516,4,0,0,4,0
A5181,2021,A road,7902.5,1528.5,415,5821.5,0.1961048076005818,3,2,1.0986122886681098,8.974934444089772,5,0,2,3,2
A5181,2022,A road,8452,1657,428,6218,0.19881285515955488,3,2,1.0986122886681098,9.042158378735948,3,0,0,3,0
A5181,2023,A road,8588.5,1685,419.5,6334.5,0.1990324002993492,3,2,1.0986122886681098,9.05817937807708,7,0,1,6,1
A5181,2024,A road,8713.5,1715.5,415.5,6430.5,0.19978247994992077,3,2,1.0986122886681098,9.072628826100697,2,0,0,2,0
A5184,2017,A road,9975,776,52,8948,0.07779448621553885,1.6,1,0.47000362924573563,9.207837241758064,2,0,0,2,0
A5184,2018,A road,9877,790,52,8849,0.07998380074921535,1.6,1,0.47000362924573563,9.197964100908127,4,0,0,4,0
A5184,2019,A road,9979,784,52,8960,0.07856498647159034,1.6,1,0.47000362924573563,9.208238163884312,6,0,1,5,1
A5184,2020,A road,7665,692,46,6806,0.09028049575994782,1.6,1,0.47000362924573563,8.944419791305915,4,0,1,3,1
A5184,2021,A road,8428,754,49,7498,0.08946369245372568,1.6,1,0.47000362924573563,9.03931477492408,1,0,0,1,0
A5184,2022,A road,9014,817,51,8009,0.09063678721988018,1.6,1,0.47000362924573563,9.106534203250593,2,0,2,0,2
A5184,2023,A road,9178,831,50,8159,0.09054260187404663,1.6,1,0.47000362924573563,9.124564594954778,1,0,0,1,0
A5184,2024,A road,8957,764,64,8017,0.08529641621078486,1.6,1,0.47000362924573563,9.100190628475195,3,0,1,2,1
A5185,2017,A road,11573.5,1328,256,9832.5,0.1140734768424811,2.1,2,0.7419373447293773,9.356473280924144,3,0,0,3,0
A5185,2018,A road,10123.5,1190,228,8564,0.11540742632365583,2.1,2,0.7419373447293773,9.222614732851572,2,0,1,1,1
