collision_index,collision_year,collision_ref_no,police_force,collision_severity,first_road_class,first_road_number,time,speed_limit,junction_detail,collision_ref_join,road_name,road_type,severity_text,severe,collision_hour,time_period,speed_group,junction_group,lgv_involved,young_driver_involved
201806XF47940,2018,06XF47940,6,3,1,62,14:35:00,70,0,06XF47940,M62,Motorway,slight,0,14,daytime,40 mph or above,No junction,1,0
201706E033292,2017,06E033292,6,3,3,5103,10:13:00,40,13,06E033292,A5103,A road,slight,0,10,daytime,40 mph or above,T or staggered junction,0,0
2023061317928,2023,061317928,6,3,3,6,22:00:00,30,0,061317928,A6,A road,slight,0,22,night_or_off_peak,30 mph or below,No junction,0,1
2023061345901,2023,061345901,6,3,3,663,14:40:00,40,0,061345901,A663,A road,slight,0,14,daytime,40 mph or above,No junction,0,0
201906L263524,2019,06L263524,6,2,3,577,17:20:00,30,13,06L263524,A577,A road,serious,1,17,evening_peak,30 mph or below,T or staggered junction,0,0
2024061420426,2024,061420426,6,2,3,671,15:17:00,30,0,061420426,A671,A road,serious,1,15,daytime,30 mph or below,No junction,0,0
201806XI40610,2018,06XI40610,6,3,1,56,20:04:00,70,0,06XI40610,M56,Motorway,slight,0,20,night_or_off_peak,40 mph or above,No junction,0,0
201706E034291,2017,06E034291,6,2,3,5145,09:34:00,30,13,06E034291,A5145,A road,serious,1,9,morning_peak,30 mph or below,T or staggered junction,0,0
202006M172085,2020,06M172085,6,2,3,5081,10:50:00,40,0,06M172085,A5081,A road,serious,1,10,daytime,40 mph or above,No junction,1,0
201906G161827,2019,06G161827,6,3,3,627,08:10:00,30,16,06G161827,A627,A road,slight,0,8,morning_peak,30 mph or below,Crossroads or larger junction,0,0
201806XN40612,2018,06XN40612,6,3,1,60,17:09:00,70,0,06XN40612,M60,Motorway,slight,0,17,evening_peak,40 mph or above,No junction,1,0
201806K146444,2018,06K146444,6,2,3,579,16:00:00,30,0,06K146444,A579,A road,serious,1,16,evening_peak,30 mph or below,No junction,0,1
2024061535916,2024,061535916,6,3,3,6010,21:00:00,30,16,061535916,A6010,A road,slight,0,21,night_or_off_peak,30 mph or below,Crossroads or larger junction,0,0
2024061517623,2024,061517623,6,2,1,61,05:28:00,70,0,061517623,M61,Motorway,serious,1,5,night_or_off_peak,40 mph or above,No junction,0,0
201806F244624,2018,06F244624,6,3,3,57,15:20:00,40,0,06F244624,A57,A road,slight,0,15,daytime,40 mph or above,No junction,0,0
2023061302372,2023,061302372,6,2,3,5103,23:20:00,30,13,061302372,A5103,A road,serious,1,23,night_or_off_peak,30 mph or below,T or staggered junction,0,0
201706A038931,2017,06A038931,6,3,3,664,12:10:00,30,13,06A038931,A664,A road,slight,0,12,daytime,30 mph or below,T or staggered junction,0,0
2021061041577,2021,061041577,6,3,3,626,17:45:00,30,13,061041577,A626,A road,slight,0,17,evening_peak,30 mph or below,T or staggered junction,0,0
201706A033056,2017,06A033056,6,3,3,665,14:30:00,30,0,06A033056,A665,A road,slight,0,14,daytime,30 mph or below,No junction,0,0
202006F175377,2020,06F175377,6,3,3,6,13:40:00,30,13,06F175377,A6,A road,slight,0,13,daytime,30 mph or below,T or staggered junction,0,0
201906F152990,2019,06F152990,6,3,1,602,21:45:00,70,0,06F152990,M602,Motorway,slight,0,21,night_or_off_peak,40 mph or above,No junction,0,1
201706A029810,2017,06A029810,6,3,3,6104,19:40:00,30,0,06A029810,A6104,A road,slight,0,19,night_or_off_peak,30 mph or below,No junction,0,0
202006K272846,2020,06K272846,6,3,3,676,15:05:00,30,16,06K272846,A676,A road,slight,0,15,daytime,30 mph or below,Crossroads or larger junction,0,0
201806E150799,2018,06E150799,6,3,3,6010,17:21:00,30,16,06E150799,A6010,A road,slight,0,17,evening_peak,30 mph or below,Crossroads or larger junction,0,0
201806E146967,2018,06E146967,6,3,2,57,22:10:00,50,0,06E146967,A57(M),A road,slight,0,22,night_or_off_peak,40 mph or above,No junction,0,0
201906L157984,2019,06L157984,6,1,3,49,21:20:00,30,0,06L157984,A49,A road,fatal,1,21,night_or_off_peak,30 mph or below,No junction,0,0
201806L140015,2018,06L140015,6,3,3,577,06:45:00,30,13,06L140015,A577,A road,slight,0,6,night_or_off_peak,30 mph or below,T or staggered junction,0,0
201706E033252,2017,06E033252,6,3,3,6,18:15:00,30,13,06E033252,A6,A road,slight,0,18,evening_peak,30 mph or below,T or staggered junction,0,0
2023061371591,2023,061371591,6,3,3,6,14:26:00,30,13,061371591,A6,A road,slight,0,14,daytime,30 mph or below,T or staggered junction,0,0
2022061180988,2022,061180988,6,3,3,6144,17:45:00,30,0,061180988,A6144,A road,slight,0,17,evening_peak,30 mph or below,No junction,0,0
201906A253017,2019,06A253017,6,3,3,664,11:05:00,30,16,06A253017,A664,A road,slight,0,11,daytime,30 mph or below,Crossroads or larger junction,0,0
201806F140415,2018,06F140415,6,3,3,580,11:03:00,50,0,06F140415,A580,A road,slight,0,11,daytime,40 mph or above,No junction,0,0
201806Q240360,2018,06Q240360,6,3,3,663,01:15:00,40,0,06Q240360,A663,A road,slight,0,1,night_or_off_peak,40 mph or above,No junction,0,0
2021061088923,2021,061088923,6,3,1,60,16:20:00,70,0,061088923,M60,Motorway,slight,0,16,evening_peak,40 mph or above,No junction,1,1
202006Q268093,2020,06Q268093,6,3,3,669,07:58:00,30,13,06Q268093,A669,A road,slight,0,7,morning_peak,30 mph or below,T or staggered junction,0,0
201706Q034736,2017,06Q034736,6,2,3,62,14:01:00,30,13,06Q034736,A62,A road,serious,1,14,daytime,30 mph or below,T or staggered junction,0,0
2021061095718,2021,061095718,6,2,3,58,21:35:00,40,0,061095718,A58,A road,serious,1,21,night_or_off_peak,40 mph or above,No junction,0,1
202106G079591,2021,06G079591,6,2,3,6140,19:45:00,30,13,06G079591,A6140,A road,serious,1,19,night_or_off_peak,30 mph or below,T or staggered junction,0,1
201706F031964,2017,06F031964,6,3,3,6010,10:55:00,30,13,06F031964,A6010,A road,slight,0,10,daytime,30 mph or below,T or staggered junction,0,0
2024061481888,2024,061481888,6,3,3,664,10:32:00,30,13,061481888,A664,A road,slight,0,10,daytime,30 mph or below,T or staggered junction,0,0
201706N029446,2017,06N029446,6,3,3,56,21:40:00,30,13,06N029446,A56,A road,slight,0,21,night_or_off_peak,30 mph or below,T or staggered junction,0,1
201906XG56632,2019,06XG56632,6,3,1,60,08:10:00,70,0,06XG56632,M60,Motorway,slight,0,8,morning_peak,40 mph or above,No junction,0,0
2024061478550,2024,061478550,6,2,1,56,00:10:00,70,0,061478550,M56,Motorway,serious,1,0,night_or_off_peak,40 mph or above,No junction,0,0
2024061502679,2024,061502679,6,3,3,6188,08:37:00,40,16,061502679,A6188,A road,slight,0,8,morning_peak,40 mph or above,Crossroads or larger junction,0,0
2022061148673,2022,061148673,6,3,3,6,08:00:00,30,16,061148673,A6,A road,slight,0,8,morning_peak,30 mph or below,Crossroads or larger junction,0,0
2021061119498,2021,061119498,6,3,1,602,23:00:00,60,0,061119498,M602,Motorway,slight,0,23,night_or_off_peak,40 mph or above,No junction,0,1
201706E027457,2017,06E027457,6,3,3,6,08:58:00,30,0,06E027457,A6,A road,slight,0,8,morning_peak,30 mph or below,No junction,0,0
201706N032631,2017,06N032631,6,3,3,665,11:46:00,30,13,06N032631,A665,A road,slight,0,11,daytime,30 mph or below,T or staggered junction,0,1
2021061112379,2021,061112379,6,3,1,62,17:27:00,70,0,061112379,M62,Motorway,slight,0,17,evening_peak,40 mph or above,No junction,0,0
201906K254366,2019,06K254366,6,3,3,666,19:00:00,30,16,06K254366,A666,A road,slight,0,19,night_or_off_peak,30 mph or below,Crossroads or larger junction,0,0
201706F031653,2017,06F031653,6,3,3,57,11:06:00,30,13,06F031653,A57,A road,slight,0,11,daytime,30 mph or below,T or staggered junction,0,0
2021061034760,2021,061034760,6,2,1,60,12:00:00,40,0,061034760,M60,Motorway,serious,1,12,daytime,40 mph or above,No junction,1,0
201806Q151400,2018,06Q151400,6,3,3,669,13:28:00,30,18,06Q151400,A669,A road,slight,0,13,daytime,30 mph or below,Other or unknown junction,0,0
